identifier_vote,date,report,desc,title,for,against,abstention,committee,oeil,mepid,lastname,firstname,result,epgroup,party,start,end,birthdate,country,term
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7259,SØGAARD-LIDELL,Linea,abstention,Renew,"Venstre, Danmarks Liberale Parti",2020-02-01,NA,1987-03-30,dk,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5889,LØKKEGAARD,Morten,abstention,Renew,"Venstre, Danmarks Liberale Parti",2019-07-02,NA,1964-12-20,dk,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6948,GADE,Søren,abstention,Renew,"Venstre, Danmarks Liberale Parti",2019-07-02,NA,1963-01-27,dk,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6951,CHRISTENSEN,Asger,abstention,Renew,"Venstre, Danmarks Liberale Parti",2019-07-02,NA,1958-01-08,dk,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7062,VINCZE,Loránt,abstention,EPP,Uniunea Democrată Maghiară din România,2019-07-02,NA,1977-11-03,ro,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6341,ŠOJDROVÁ,Michaela,abstention,EPP,Křesťanská a demokratická unie - Československá strana lidová,2019-07-02,NA,1963-10-28,cz,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7264,LEXMANN,Miriam,abstention,EPP,Kresťanskodemokratické hnutie,2020-02-01,NA,1972-12-02,sk,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,5981,van DALEN,Peter,abstention,EPP,ChristenUnie,2019-07-02,NA,1958-09-03,nl,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,6927,BELLAMY,François-Xavier,abstention,EPP,Les Républicains,2019-07-02,NA,1985-10-11,fr,9
140042,2022-02-17T15:02:00Z,B9-0099/2022,Proposition de résolution (ensemble du texte),Resolution on the EU priorities for the 66th session of the UN Commission on the Status of Women,527,68,91,NA,https://oeil.secure.europarl.europa.eu/oeil//popups/ficheprocedure.do?reference=2022/2536(RSP)&amp;l=en,7006,RIVIÈRE,Jérôme,abstention,ID,Rassemblement national,2019-07-02,NA,1964-07-08,fr,9
